"PUBID","KEY!SEX","KEY!BDATE_M","KEY!BDATE_Y","KEY!ETHNICITY","KEY!RACE","CV_INCOME_GROSS_YR","CV_HH_NET_WORTH_P","CV_YTH_REL_HH_CURRENT","CV_SAMPLE_TYPE","CV_HGC_BIO_DAD","CV_HGC_BIO_MOM","CV_HGC_RES_DAD","CV_HGC_RES_MOM","KEY!RACE_ETHNICITY","CVC_HGC_EVER","CVC_HIGHEST_DEGREE_EVER","CVC_HS_DIPLOMA","CVC_BA_DEGREE","CVC_RND"
91,2,9,1982,1,2,-3,-3,1,1,12,16,12,16,2,16,4,253,349,16
92,1,4,1983,0,3,37600,3000,1,1,12,10,12,10,4,12,2,294,-4,17
93,1,9,1983,1,1,29000,-3,1,1,12,8,12,8,2,13,2,270,-4,17
94,2,9,1980,0,2,17500,-3,4,1,12,10,-4,10,1,14,3,222,-4,17
95,1,7,1982,1,5,34738,1750,1,1,8,8,8,8,2,11,0,-4,-4,11
96,1,7,1982,0,4,75500,17500,1,1,14,12,14,12,4,16,4,-4,294,12
97,1,6,1980,1,1,41100,12000,1,1,12,12,12,12,2,16,4,224,278,17
98,1,1,1980,0,4,-4,-4,1,1,-3,-3,-3,-3,4,18,4,234,336,15
99,1,6,1982,1,5,-3,3750,2,1,-4,8,10,8,2,11,1,-4,-4,8
100,2,1,1981,0,2,26000,-8500,4,1,-3,10,-4,10,1,11,1,-4,-4,17
101,2,7,1981,0,2,-3,-3,4,1,-4,6,-4,6,1,12,-3,-3,-4,17
102,2,4,1982,1,1,80000,190001,1,1,12,12,12,12,2,16,4,246,306,15
103,2,11,1983,1,1,80000,190001,1,1,12,12,12,12,2,12,2,258,-4,6
104,2,11,1980,0,1,75673,258500,1,1,16,13,16,13,4,16,4,222,269,17
105,1,8,1983,0,1,75673,258500,1,1,16,13,16,13,4,12,2,258,-4,17
106,1,11,1981,0,1,92300,382500,1,1,12,16,12,16,4,14,3,234,-4,12
107,2,8,1982,0,1,135000,559500,1,1,19,16,19,16,4,18,5,246,292,17
108,1,9,1984,0,1,135000,559500,1,1,19,16,19,16,4,16,4,270,317,17
109,2,3,1982,0,1,76500,453750,1,1,12,12,12,12,4,16,4,246,293,17
110,2,2,1984,0,1,76500,453750,1,1,12,12,12,12,4,18,5,270,313,17
111,2,1,1981,0,1,63850,105500,6,1,-4,-4,13,12,4,16,4,234,293,17
112,2,4,1984,0,1,-4,-4,1,1,12,12,12,12,4,16,4,270,317,10
113,1,4,1984,0,1,66600,2750,4,1,12,15,-4,15,4,17,2,270,-4,17
114,2,7,1982,0,1,76716,102200,1,1,13,12,13,12,4,16,4,246,368,17
115,2,10,1984,1,1,-3,-3,1,1,12,12,12,12,2,10,1,-4,-4,15
116,1,10,1984,0,2,31750,26250,4,1,12,12,-4,12,1,12,2,282,-4,17
117,1,10,1984,0,2,31750,26250,4,1,12,12,-4,12,1,12,2,282,-4,17
118,1,6,1980,0,1,98500,-3,1,1,16,12,16,12,4,17,4,222,293,12
119,1,9,1982,0,1,246474,-3,1,1,12,15,12,15,4,16,4,246,300,16
120,1,6,1982,0,1,-4,-4,5,1,17,16,17,-4,4,19,5,246,293,17
121,1,12,1981,0,1,77900,155450,1,1,14,14,14,14,4,13,2,246,-4,17
122,1,6,1984,0,1,77900,155450,1,1,14,14,14,14,4,12,2,270,-4,17
123,1,2,1980,0,1,-4,-4,1,1,12,15,12,15,4,10,0,-4,-4,1
124,1,2,1982,0,1,-4,-4,1,1,12,15,12,15,4,8,0,-4,-4,1
125,2,5,1984,0,1,-3,-3,1,1,18,16,18,16,4,16,4,269,317,9
126,1,5,1981,0,1,-4,-4,4,1,-4,12,-4,12,4,12,2,234,-4,17
127,2,3,1982,0,1,-4,-4,1,1,16,16,16,16,4,18,4,246,293,17
128,2,8,1982,0,1,93000,175500,4,1,18,16,-4,16,4,17,4,246,300,17
129,2,8,1980,0,4,-4,-4,3,1,17,-4,17,16,4,16,4,234,288,8
130,2,7,1981,0,4,-4,-4,3,1,17,-4,17,16,4,16,4,246,300,12
131,1,10,1980,0,1,40200,470750,1,1,16,16,16,16,4,13,2,222,-4,3
132,1,2,1983,0,1,42047,-3,1,1,16,16,16,16,4,17,4,258,305,15
133,1,7,1982,0,1,51160,68500,1,1,16,16,16,16,4,16,4,246,293,17
134,1,4,1984,0,1,-4,-4,1,1,16,14,16,14,4,15,2,270,-4,9
135,1,4,1981,0,1,72000,87500,4,1,15,18,-4,18,4,18,5,234,-3,15
136,2,9,1983,0,1,-3,-3,1,1,14,18,14,18,4,16,4,258,305,12
137,2,5,1980,0,1,3400,500,4,1,-4,12,-4,12,4,11,1,-4,-4,17
138,1,4,1984,0,1,-3,600000,1,1,18,16,18,16,4,14,3,282,-4,17
139,2,7,1984,0,1,246474,600000,1,1,16,18,16,18,4,12,2,270,-4,6
140,1,12,1983,1,1,48750,35500,2,1,14,12,16,12,2,14,2,282,-4,12
141,2,1,1980,0,1,-3,4050,1,1,9,12,9,12,4,13,2,222,-4,5
142,2,1,1981,0,1,38700,8000,4,1,14,10,-4,10,4,12,2,234,-4,16
143,1,8,1981,0,2,123000,84299,1,1,14,12,14,12,1,14,2,233,-4,17
144,1,8,1982,0,2,69500,131750,2,1,12,16,12,16,1,13,2,246,-4,17
145,1,4,1984,0,2,69500,131750,2,1,12,16,12,16,1,16,4,270,388,17
146,1,7,1984,0,2,47000,150,1,1,12,12,12,12,1,12,2,270,-4,17
147,2,2,1984,0,1,35000,-3,1,1,13,12,13,12,4,13,2,264,-4,17
148,2,10,1982,0,2,-3,-15750,4,1,12,6,-4,6,1,11,1,-4,-4,17
149,2,4,1983,0,2,-3,3750,4,1,11,11,-4,11,1,15,2,258,-4,17
150,1,2,1984,0,2,-3,3750,4,1,-3,11,-4,11,1,13,2,270,-4,17
151,2,1,1982,0,2,-3,-3,9,1,11,11,-4,-4,1,12,2,246,-4,17
152,1,5,1982,0,2,-4,-4,1,1,14,12,14,12,1,12,2,246,-4,17
153,2,2,1980,0,2,-3,1750,2,1,13,10,12,10,1,12,2,234,-4,17
154,1,6,1980,0,1,142700,125500,1,1,20,19,20,19,4,12,2,222,-4,2
155,1,2,1980,0,4,-3,-3,1,1,18,14,18,14,4,16,4,210,268,17
156,1,11,1982,0,4,-3,-3,1,1,18,14,18,14,4,20,7,246,293,17
157,2,3,1982,1,1,72000,34500,1,1,12,12,12,12,2,16,4,246,317,17
158,1,12,1984,1,1,47000,56000,1,1,-3,16,-3,16,2,16,4,270,320,17
159,2,1,1980,1,2,21,8200,1,1,10,12,10,12,2,13,2,234,-4,17
160,2,1,1981,1,1,5856,3750,4,1,10,9,-4,9,2,-3,1,-4,-4,17
161,1,1,1982,1,1,5856,3750,4,1,10,9,-4,9,2,11,0,-4,-4,17
162,2,8,1981,0,2,40000,-3,4,1,-4,-3,-4,-3,1,18,4,234,313,17
163,1,2,1983,0,2,40000,-3,4,1,-4,-3,-4,-3,1,12,2,260,-4,17
164,2,7,1981,0,1,49000,14250,1,1,12,12,12,12,4,13,2,270,-4,17
165,1,4,1980,0,1,-4,-4,1,1,12,13,12,13,4,16,4,222,269,17
166,2,9,1982,0,1,-4,-4,1,1,12,13,12,13,4,17,4,246,293,17
167,1,11,1984,1,1,87000,-3,1,1,12,8,12,8,2,12,2,282,-4,17
168,1,1,1981,1,1,-3,-3,1,1,12,13,12,13,2,12,2,246,-4,15
169,2,1,1983,0,1,30000,3250,1,1,20,12,20,12,4,11,1,-4,-4,17
170,2,8,1984,0,1,30000,3250,1,1,20,12,20,12,4,16,4,270,401,17
171,2,7,1984,1,1,54000,38500,1,1,11,12,11,12,2,15,2,270,-4,17
172,1,7,1983,0,1,119750,535501,1,1,18,16,18,16,4,9,0,-4,-4,2
173,2,6,1980,0,1,104500,-3,1,1,18,16,18,16,4,13,2,222,-4,5
174,1,4,1983,0,1,104500,-3,1,1,18,16,18,16,4,12,2,258,-4,5
175,2,10,1981,0,1,-3,-3,1,1,18,16,18,16,4,17,4,234,281,12
176,1,9,1982,0,1,-3,535001,1,1,18,13,18,13,4,17,4,246,293,17
177,2,11,1980,0,1,52425,160950,1,1,12,16,12,16,4,18,5,234,288,17
178,2,3,1980,0,1,-3,288000,1,1,18,12,18,12,4,20,5,222,269,17
179,2,9,1981,0,1,-3,288000,1,1,18,12,18,12,4,11,0,-4,-4,3
180,1,9,1983,0,1,-3,288000,1,1,18,12,18,12,4,16,4,270,317,17
181,2,11,1982,0,1,111750,-3,1,1,20,18,20,18,4,20,5,258,305,17
182,2,5,1984,0,1,111750,-3,1,1,20,18,20,18,4,16,4,270,316,17
183,2,12,1980,0,1,138750,-3,1,1,20,16,20,16,4,16,4,234,324,17
184,1,12,1984,0,1,60000,293800,1,1,16,14,16,14,4,12,2,270,-4,12
185,1,6,1981,0,2,92500,-2332,2,1,12,12,12,12,1,12,2,234,-4,16
186,2,7,1983,0,1,-4,-4,1,1,-3,-3,-3,-3,4,12,2,258,-4,7
187,1,9,1983,1,1,75500,-3,1,1,14,12,14,12,2,17,4,258,317,17
188,2,10,1980,0,1,26000,19500,4,1,12,12,-4,12,4,16,4,234,411,17
189,2,8,1984,0,1,-4,-4,4,1,-4,12,-4,12,4,12,2,270,-4,6
190,1,10,1983,0,1,-3,308001,4,1,12,16,-4,16,4,9,1,-4,-4,17
191,1,2,1982,0,1,80500,326000,6,1,-4,-4,16,16,4,12,2,246,-4,16
192,2,3,1982,1,2,3070,-42488,4,1,16,15,-4,15,2,13,2,246,-4,17
193,2,2,1981,0,2,35820,-8000,4,1,10,12,-4,12,1,12,2,234,-4,17
194,2,10,1980,1,2,43000,-27600,9,1,-3,14,-4,-4,2,13,2,222,-4,17
195,1,1,1983,0,2,40100,30500,4,1,-3,14,-4,14,1,13,2,246,-4,17
196,1,4,1984,1,5,-3,-3,1,1,14,19,14,19,2,12,2,270,-4,6
197,2,12,1981,0,1,-3,132000,1,1,17,14,17,14,4,20,5,246,305,17
198,2,7,1980,0,1,-4,-4,8,1,12,11,-4,-4,4,12,2,222,-4,17
199,1,6,1982,0,1,115900,455500,1,1,16,17,16,17,4,16,4,258,346,17
200,1,8,1980,0,1,-3,255500,4,1,12,15,-4,15,4,13,2,234,-4,17
201,2,12,1983,0,1,80300,123000,1,1,18,18,18,18,4,18,5,258,310,17
202,1,1,1982,0,1,-4,-4,1,1,12,12,12,12,4,11,1,-4,-4,17
203,2,1,1984,0,1,-4,-4,1,1,12,12,12,12,4,16,4,282,324,17
204,2,5,1981,0,1,41000,37550,4,1,14,15,-4,15,4,14,2,246,-4,17
205,2,11,1983,0,1,41000,37550,4,1,14,15,-4,15,4,-3,-3,-3,-4,15
206,1,2,1982,0,5,17500,-3,1,1,10,10,10,10,4,18,4,258,353,17
207,2,11,1981,0,1,75500,600000,1,1,8,12,8,12,4,16,4,234,300,17
208,2,3,1984,0,1,75500,600000,1,1,8,12,8,12,4,16,4,270,324,16
209,1,6,1983,1,5,36000,155500,1,1,8,8,8,8,2,12,2,258,-4,9
210,1,5,1984,1,5,36000,155500,1,1,8,8,8,8,2,12,2,270,-4,10
211,2,6,1980,1,5,-3,48300,1,1,4,4,4,4,2,17,4,234,296,17
212,1,2,1980,1,5,17900,7900,1,1,8,12,8,12,2,10,1,-4,-4,17
213,2,4,1982,1,5,17900,7900,1,1,8,12,8,12,2,15,3,245,-4,17
214,2,11,1982,1,5,37400,31900,1,1,16,12,16,12,2,16,2,246,-4,17
215,1,5,1981,1,5,-3,1750,4,1,12,12,-4,12,2,16,2,234,-4,17
216,2,6,1980,1,5,71900,43000,1,1,6,11,6,11,2,16,4,-4,425,17
217,2,11,1982,1,5,-4,-4,5,1,12,8,12,-4,2,12,2,258,-4,17
218,1,9,1983,1,5,-4,-4,1,1,12,16,12,16,2,12,2,258,-4,5
219,1,3,1982,0,5,141400,139500,1,1,15,18,15,18,3,16,4,246,296,17
220,1,3,1984,0,1,48400,118000,1,1,14,12,14,12,4,13,2,270,-4,8
221,2,9,1984,0,1,107700,183500,2,1,18,14,12,14,4,14,3,272,-4,17
222,1,1,1981,1,1,35000,-3,1,1,12,9,12,9,2,15,3,234,-4,17
223,1,1,1981,1,1,35000,-3,1,1,12,9,12,9,2,16,3,234,-4,17
224,2,10,1982,0,1,57000,120750,5,1,12,12,12,-4,4,12,2,246,-4,17
225,1,10,1980,0,1,-3,-3,5,1,12,14,12,-4,4,12,2,222,-4,17
226,2,3,1981,0,2,2500,2350,4,1,-3,9,-4,9,1,14,2,234,-4,17
227,2,1,1980,0,5,6014,47650,6,1,-4,-3,-4,14,3,8,0,-4,-4,17
228,1,1,1984,0,5,-3,-2500,5,1,15,15,15,-4,4,16,3,258,-4,17
229,2,2,1984,0,5,140,79530,4,1,-4,16,-4,16,4,16,4,270,317,17
230,1,5,1984,1,1,-3,-19883,1,1,12,12,12,12,2,16,4,270,329,17
231,1,11,1980,1,5,-4,-4,5,1,12,11,12,-4,2,10,1,-4,-4,17
232,1,6,1984,1,5,60,30485,4,1,12,12,-4,12,2,16,4,270,384,17
233,1,12,1980,1,5,36,3765,1,1,7,13,7,13,2,12,2,234,-4,17
234,2,8,1983,1,1,-4,-4,4,1,14,11,-4,11,2,12,2,270,-4,17
235,2,8,1981,0,4,4500,1747,1,1,15,10,15,10,4,16,4,234,293,17
236,2,12,1984,1,5,35,-3,4,1,12,15,-4,15,2,14,3,270,-4,17
237,1,3,1983,0,5,-3,40067,1,1,13,14,13,14,4,16,4,270,329,17
238,2,8,1981,0,4,-4,-4,4,1,-4,-3,-4,-3,4,16,4,234,313,17
239,1,9,1980,0,1,246474,600000,1,1,18,18,18,18,4,14,2,234,-4,17
240,2,4,1983,0,1,246474,600000,1,1,18,18,18,18,4,16,4,258,305,17
241,2,2,1983,1,1,78000,29750,1,1,16,18,16,18,2,20,5,258,305,17
242,1,6,1984,1,1,78000,29750,1,1,16,18,16,18,2,20,4,270,-3,17
243,2,2,1983,-1,-1,-3,-3,1,1,12,12,12,12,3,12,2,258,-4,17
244,1,3,1983,1,5,26000,-3,1,1,12,12,12,12,2,13,2,258,-4,17
245,2,7,1984,0,1,-4,-4,1,1,-3,-3,-3,-3,4,20,5,270,-4,17
246,1,10,1980,1,1,-3,-3,5,1,15,-4,15,-4,2,20,5,222,269,17
247,1,3,1982,0,1,24850,17850,1,1,13,13,13,13,4,16,4,246,292,17
248,2,9,1983,0,1,24850,17850,1,1,13,13,13,13,4,16,4,258,323,17
249,1,8,1981,0,1,-4,-4,2,1,12,14,14,14,4,8,0,-4,-4,1
250,1,9,1981,0,1,94250,-3,1,1,12,13,12,13,4,12,2,234,-4,8
251,1,4,1982,1,5,37500,-3,1,1,14,11,14,11,2,17,4,246,305,17
252,2,7,1984,1,5,37500,-3,1,1,14,11,14,11,2,18,5,270,-4,17
253,2,9,1984,0,1,-4,-4,1,1,-3,-3,-3,-3,4,12,2,270,-4,6
254,1,8,1981,0,1,-3,-3,4,1,16,18,-4,18,4,16,2,246,-4,17
255,2,7,1983,0,1,-3,-3,4,1,16,18,-4,18,4,16,4,258,305,17
256,1,8,1980,0,1,43000,-3,1,1,-3,-3,-3,-3,4,12,1,-4,-4,17
257,1,5,1984,0,1,43000,-3,1,1,-3,-3,-3,-3,4,9,1,-4,-4,17
258,1,11,1982,0,1,-4,-4,1,1,14,12,14,12,4,18,4,246,293,17
259,1,12,1981,0,1,-3,-3,1,1,-3,-3,-3,-3,4,16,4,246,293,9
260,1,12,1980,0,2,-4,-4,4,1,-4,14,-4,14,1,16,4,234,293,17
261,1,4,1983,0,2,-3,1750,4,1,-4,12,-4,12,1,12,2,282,-4,17
262,1,9,1980,0,2,-4,-4,4,1,-4,8,-4,8,1,11,0,-4,-4,17
263,1,7,1983,0,2,-4,-4,4,1,-4,8,-4,8,1,9,1,-4,-4,17
264,1,7,1982,0,1,-4,-4,1,1,-3,-3,-3,-3,4,17,2,258,-4,17
265,1,9,1983,1,5,19000,1500,1,1,6,6,6,6,2,13,2,270,-4,17
266,2,12,1980,0,1,54800,148500,2,1,12,12,14,12,4,14,3,222,-4,17
267,2,12,1980,0,1,32010,110800,1,1,12,13,12,13,4,17,5,234,-3,17
268,1,12,1981,1,5,71100,242500,2,1,11,11,12,11,2,14,3,258,-4,17
269,2,6,1981,0,1,82500,412500,1,1,12,16,12,16,4,13,1,-4,-4,7
270,2,1,1984,0,1,82500,412500,1,1,12,16,12,16,4,13,2,270,-4,17
271,2,8,1982,0,1,65400,50870,1,1,12,12,12,12,4,10,0,-4,-4,17
272,2,9,1982,1,5,-3,12500,4,1,6,7,-4,7,2,10,1,-4,-4,17
273,2,4,1983,1,1,-4,-4,4,1,12,12,-4,12,2,14,3,-4,-4,17
274,2,8,1980,1,3,24,500,4,1,5,5,-4,5,2,11,0,-4,-4,15
275,1,12,1980,1,3,-3,-4,9,1,5,1,-4,-4,2,9,0,-4,-4,17
276,2,1,1982,1,3,24,500,4,1,5,5,-4,5,2,9,0,-4,-4,16
277,1,2,1984,1,3,24,500,4,1,5,5,-4,5,2,9,1,-4,-4,13
278,1,9,1980,0,1,62040,47500,1,1,16,14,16,14,4,12,2,222,-4,17
279,1,4,1981,0,1,246474,-3,1,1,18,16,18,16,4,18,5,234,-4,15
280,1,5,1983,0,1,246474,-3,1,1,18,16,18,16,4,19,5,258,-3,17
281,1,12,1984,0,2,3750,500,4,1,-3,11,-4,11,1,12,2,282,-4,17
282,1,6,1980,0,1,-3,-3,1,1,12,14,12,14,4,12,2,234,-4,17
283,1,5,1984,0,1,-3,-3,1,1,12,14,12,14,4,15,3,270,-4,17
284,2,3,1981,0,2,-3,3750,2,1,10,12,-3,12,1,14,3,234,-4,17
285,1,2,1981,0,1,-3,-3,1,1,9,11,9,11,4,12,2,234,-4,17
286,2,9,1984,0,1,-4,-4,1,1,14,12,14,12,4,16,4,270,325,17
287,1,5,1980,0,1,-3,87326,1,1,12,12,12,12,4,12,2,234,-4,17
288,2,10,1983,0,1,-3,87326,1,1,12,12,12,12,4,14,2,270,-4,17
289,2,10,1984,0,1,-3,87326,1,1,12,12,12,12,4,13,2,270,-4,17
290,2,1,1984,0,1,70000,-3,1,1,12,14,12,14,4,12,2,283,-4,17
291,2,6,1980,0,1,57200,134500,1,1,12,12,12,12,4,11,2,250,-4,17
292,2,9,1984,0,2,29400,6850,1,1,12,14,12,14,1,15,2,270,-4,17
293,2,11,1983,1,5,72000,-3,1,1,12,12,12,12,2,16,4,258,341,17
294,1,5,1982,1,5,-4,-4,1,1,12,12,12,12,2,18,5,246,-3,17
295,2,9,1984,1,-1,100500,35100,4,1,-3,8,-4,8,2,12,2,270,-4,17
296,2,12,1981,1,1,45000,-3,1,1,14,11,14,11,2,16,4,246,317,17
297,1,7,1984,1,1,45000,-3,1,1,14,11,14,11,2,12,2,282,-4,16
298,2,6,1983,0,1,63000,-3,1,1,16,18,16,18,4,14,2,258,-4,17
299,1,5,1981,0,1,-3,-3,1,1,12,12,12,12,4,13,2,234,-4,17
300,2,5,1984,0,1,-3,-3,1,1,12,13,12,13,4,16,4,270,301,17
301,2,12,1981,0,1,34800,55250,4,1,18,12,-4,12,4,20,5,246,-4,15
