pclass,survived,sex,age,sibsp,parch,fare
1,0,male,54,0,0,51.8625
1,1,male,36,0,0,26.2875
1,0,male,28,1,0,82.1708
1,1,female,,1,0,82.1708
1,0,male,65,0,0,26.5500
1,0,male,44,2,0,90.0000
1,1,female,33,1,0,90.0000
1,1,female,37,1,0,90.0000
1,1,male,30,1,0,57.7500
1,0,male,55,0,0,30.5000
1,0,male,47,0,0,42.4000
1,0,male,37,0,1,29.7000
1,1,female,31,1,0,113.2750
1,1,female,23,1,0,113.2750
1,0,male,58,0,2,113.2750
1,1,female,19,0,2,26.2833
1,0,male,64,0,0,26.0000
1,1,female,39,0,0,108.9000
1,1,male,,0,0,25.7417
1,1,female,22,0,1,61.9792
1,0,male,65,0,1,61.9792
1,0,male,28.5,0,0,27.7208
1,0,male,,0,0,0.0000
1,0,male,45.5,0,0,28.5000
1,0,male,23,0,0,93.5000
1,0,male,29,1,0,66.6000
1,1,female,22,1,0,66.6000
1,0,male,18,1,0,108.9000
1,1,female,17,1,0,108.9000
1,1,female,30,0,0,93.5000
1,1,male,52,0,0,30.5000
1,0,male,47,0,0,52.0000
1,1,female,56,0,1,83.1583
1,0,male,38,0,0,0.0000
1,1,male,,0,0,39.6000
1,0,male,22,0,0,135.6333
1,0,male,,0,0,227.5250
1,1,female,43,0,1,211.3375
1,0,male,31,0,0,50.4958
1,1,male,45,0,0,26.5500
1,0,male,,0,0,50.0000
1,1,female,33,0,0,27.7208
1,0,male,46,0,0,79.2000
1,0,male,36,0,0,40.1250
1,1,female,33,0,0,86.5000
1,0,male,55,1,0,59.4000
1,1,female,54,1,0,59.4000
1,0,male,33,0,0,26.5500
1,1,male,13,2,2,262.3750
1,1,female,18,2,2,262.3750
1,1,female,21,2,2,262.3750
1,0,male,61,1,3,262.3750
1,1,female,48,1,3,262.3750
1,1,male,,0,0,30.5000
1,1,female,24,0,0,69.3000
1,1,male,,0,0,26.0000
1,1,female,35,1,0,57.7500
1,1,female,30,0,0,31.0000
1,1,male,34,0,0,26.5500
1,1,female,40,0,0,153.4625
1,1,male,35,0,0,26.2875
1,0,male,50,1,0,55.9000
1,1,female,39,1,0,55.9000
1,1,male,56,0,0,35.5000
1,1,male,28,0,0,35.5000
1,0,male,56,0,0,26.5500
1,0,male,56,0,0,30.6958
1,0,male,24,1,0,60.0000
1,0,male,,0,0,26.0000
1,1,female,18,1,0,60.0000
1,1,male,24,1,0,82.2667
1,1,female,23,1,0,82.2667
1,1,male,6,0,2,134.5000
1,1,male,45,1,1,134.5000
1,1,female,40,1,1,134.5000
1,0,male,57,1,0,146.5208
1,1,female,,1,0,146.5208
1,1,male,32,0,0,30.5000
1,0,male,62,0,0,26.5500
1,1,male,54,1,0,55.4417
1,1,female,43,1,0,55.4417
1,1,female,52,1,0,78.2667
1,0,male,,0,0,27.7208
1,1,female,62,0,0,80.0000
1,0,male,67,1,0,221.7792
1,0,female,63,1,0,221.7792
1,0,male,61,0,0,32.3208
1,1,female,48,0,0,25.9292
1,1,female,18,0,2,79.6500
1,0,male,52,1,1,79.6500
1,1,female,39,1,1,79.6500
1,1,male,48,1,0,52.0000
1,1,female,,1,0,52.0000
1,0,male,49,1,1,110.8833
1,1,male,17,0,2,110.8833
1,1,female,39,1,1,110.8833
1,1,female,,0,0,79.2000
1,1,male,31,0,0,28.5375
1,0,male,40,0,0,27.7208
1,0,male,61,0,0,33.5000
1,0,male,47,0,0,34.0208
1,1,female,35,0,0,512.3292
1,0,male,64,1,0,75.2500
1,1,female,60,1,0,75.2500
1,0,male,60,0,0,26.5500
1,0,male,54,0,1,77.2875
1,0,male,21,0,1,77.2875
1,1,female,55,0,0,135.6333
1,1,female,31,0,2,164.8667
1,0,male,57,1,1,164.8667
1,1,female,45,1,1,164.8667
1,0,male,50,1,1,211.5000
1,0,male,27,0,2,211.5000
1,1,female,50,1,1,211.5000
1,1,female,21,0,0,26.5500
1,0,male,51,0,1,61.3792
1,1,male,21,0,1,61.3792
1,0,male,,0,0,35.0000
1,1,female,31,0,0,134.5000
1,1,male,,0,0,35.5000
1,0,male,62,0,0,26.5500
1,1,female,36,0,0,135.6333
2,0,male,30,1,0,24.0000
2,1,female,28,1,0,24.0000
2,0,male,30,0,0,13.0000
2,0,male,18,0,0,11.5000
2,0,male,25,0,0,10.5000
2,0,male,34,1,0,26.0000
2,1,female,36,1,0,26.0000
2,0,male,57,0,0,13.0000
2,0,male,18,0,0,11.5000
2,0,male,23,0,0,10.5000
2,1,female,36,0,0,13.0000
2,0,male,28,0,0,10.5000
2,0,male,51,0,0,12.5250
2,1,male,32,1,0,26.0000
2,1,female,19,1,0,26.0000
2,0,male,28,0,0,26.0000
2,1,male,1,2,1,39.0000
2,1,female,4,2,1,39.0000
2,1,female,12,2,1,39.0000
2,1,female,36,0,3,39.0000
2,1,male,34,0,0,13.0000
2,1,female,19,0,0,13.0000
2,0,male,23,0,0,13.0000
2,0,male,26,0,0,13.0000
2,0,male,42,0,0,13.0000
2,0,male,27,0,0,13.0000
2,1,female,24,0,0,13.0000
2,1,female,15,0,2,39.0000
2,0,male,60,1,1,39.0000
2,1,female,40,1,1,39.0000
2,1,female,20,1,0,26.0000
2,0,male,25,1,0,26.0000
2,1,female,36,0,0,13.0000
2,0,male,25,0,0,13.0000
2,0,male,42,0,0,13.0000
2,1,female,42,0,0,13.0000
2,1,male,0.8333,0,2,29.0000
2,1,male,26,1,1,29.0000
2,1,female,22,1,1,29.0000
2,1,female,35,0,0,21.0000
2,0,male,,0,0,0.0000
2,0,male,19,0,0,13.0000
2,0,female,44,1,0,26.0000
2,0,male,54,1,0,26.0000
2,0,male,52,0,0,13.5000
2,0,male,37,1,0,26.0000
2,0,female,29,1,0,26.0000
2,1,female,25,1,1,30.0000
2,1,female,45,0,2,30.0000
2,0,male,29,1,0,26.0000
2,1,female,28,1,0,26.0000
2,0,male,29,0,0,10.5000
2,0,male,28,0,0,13.0000
2,1,male,24,0,0,10.5000
2,1,female,8,0,2,26.2500
2,0,male,31,1,1,26.2500
2,1,female,31,1,1,26.2500
2,1,female,22,0,0,10.5000
2,0,female,30,0,0,13.0000
2,0,female,,0,0,21.0000
2,0,male,21,0,0,11.5000
2,0,male,,0,0,0.0000
2,1,male,8,1,1,36.7500
2,0,male,18,0,0,73.5000
2,1,female,48,0,2,36.7500
2,1,female,28,0,0,13.0000
2,0,male,32,0,0,13.0000
2,0,male,17,0,0,73.5000
2,0,male,29,1,0,27.7208
2,1,female,24,1,0,27.7208
2,0,male,25,0,0,31.5000
2,0,male,18,0,0,73.5000
2,1,female,18,0,1,23.0000
2,1,female,34,0,1,23.0000
2,0,male,54,0,0,26.0000
2,1,male,8,0,2,32.5000
2,0,male,42,1,1,32.5000
2,1,female,34,1,1,32.5000
2,1,female,27,1,0,13.8583
2,1,female,30,1,0,13.8583
2,0,male,23,0,0,13.0000
2,0,male,21,0,0,13.0000
2,0,male,18,0,0,13.0000
2,0,male,40,1,0,26.0000
2,1,female,29,1,0,26.0000
2,0,male,18,0,0,10.5000
2,0,male,36,0,0,13.0000
2,0,male,,0,0,0.0000
2,0,female,38,0,0,13.0000
2,0,male,35,0,0,26.0000
2,0,male,38,1,0,21.0000
2,0,male,34,1,0,21.0000
2,1,female,34,0,0,13.0000
2,0,male,16,0,0,26.0000
2,0,male,26,0,0,10.5000
2,0,male,47,0,0,10.5000
2,0,male,21,1,0,11.5000
2,0,male,21,1,0,11.5000
2,0,male,24,0,0,13.5000
2,0,male,24,0,0,13.0000
2,0,male,34,0,0,13.0000
2,0,male,30,0,0,13.0000
2,0,male,52,0,0,13.0000
2,0,male,30,0,0,13.0000
2,1,male,0.6667,1,1,14.5000
2,1,female,24,0,2,14.5000
2,0,male,44,0,0,13.0000
2,1,female,6,0,1,33.0000
2,0,male,28,0,1,33.0000
2,1,male,62,0,0,10.5000
2,0,male,30,0,0,10.5000
2,1,female,7,0,2,26.2500
2,0,male,43,1,1,26.2500
2,1,female,45,1,1,26.2500
2,1,female,24,1,2,65.0000
2,1,female,24,1,2,65.0000
2,0,male,49,1,2,65.0000
2,1,female,48,1,2,65.0000
2,1,female,55,0,0,16.0000
2,0,male,24,2,0,73.5000
2,0,male,32,2,0,73.5000
2,0,male,21,2,0,73.5000
2,0,female,18,1,1,13.0000
2,1,female,20,2,1,23.0000
2,0,male,23,2,1,11.5000
2,0,male,36,0,0,13.0000
2,1,female,54,1,3,23.0000
2,0,male,50,0,0,13.0000
2,0,male,44,1,0,26.0000
2,1,female,29,1,0,26.0000
2,0,male,21,0,0,73.5000
2,1,male,42,0,0,13.0000
2,0,male,63,1,0,26.0000
2,0,female,60,1,0,26.0000
2,0,male,33,0,0,12.2750
2,1,female,17,0,0,10.5000
2,0,male,42,1,0,27.0000
2,1,female,24,2,1,27.0000
2,0,male,47,0,0,15.0000
2,0,male,24,2,0,31.5000
2,0,male,22,2,0,31.5000
2,0,male,32,0,0,10.5000
2,1,female,23,0,0,13.7917
2,0,male,34,1,0,26.0000
2,1,female,24,1,0,26.0000
2,0,female,22,0,0,21.0000
2,1,female,,0,0,12.3500
2,0,male,35,0,0,12.3500
2,1,female,45,0,0,13.5000
2,0,male,57,0,0,12.3500
2,0,male,,0,0,0.0000
2,0,male,31,0,0,10.5000
2,0,female,26,1,1,26.0000
2,0,male,30,1,1,26.0000
2,0,male,,0,0,10.7083
2,1,female,1,1,2,41.5792
2,1,female,3,1,2,41.5792
2,0,male,25,1,2,41.5792
2,1,female,22,1,2,41.5792
2,1,female,17,0,0,12.0000
2,1,female,,0,0,33.0000
2,1,female,34,0,0,10.5000
2,0,male,36,0,0,12.8750
2,0,male,24,0,0,10.5000
2,0,male,61,0,0,12.3500
2,0,male,50,1,0,26.0000
2,1,female,42,1,0,26.0000
2,0,female,57,0,0,10.5000
2,0,male,,0,0,15.0458
2,1,male,1,0,2,37.0042
2,0,male,31,1,1,37.0042
2,1,female,24,1,1,37.0042
2,0,male,,0,0,15.5792
2,0,male,30,0,0,13.0000
2,0,male,40,0,0,16.0000
2,0,male,32,0,0,13.5000
2,0,male,30,0,0,13.0000
2,0,male,46,0,0,26.0000
2,1,female,13,0,1,19.5000
2,1,female,41,0,1,19.5000
2,1,male,19,0,0,10.5000
2,0,male,39,0,0,13.0000
2,0,male,48,0,0,13.0000
2,0,male,70,0,0,10.5000
2,0,male,27,0,0,13.0000
2,0,male,54,0,0,14.0000
2,0,male,39,0,0,26.0000
2,0,male,16,0,0,10.5000
2,0,male,62,0,0,9.6875
2,0,male,32.5,1,0,30.0708
2,1,female,14,1,0,30.0708
2,1,male,2,1,1,26.0000
2,1,male,3,1,1,26.0000
2,0,male,36.5,0,2,26.0000
2,0,male,26,0,0,13.0000
2,0,male,19,1,1,36.7500
2,0,male,28,0,0,13.5000
2,1,male,20,0,0,13.8625
2,1,female,29,0,0,10.5000
2,0,male,39,0,0,13.0000
2,1,male,22,0,0,10.5000
2,1,male,,0,0,13.8625
2,0,male,23,0,0,10.5000
2,1,male,29,0,0,13.8583
2,0,male,28,0,0,10.5000
2,0,male,,0,0,0.0000
2,1,female,50,0,1,26.0000
2,0,male,19,0,0,10.5000
2,0,male,,0,0,15.0500
2,0,male,41,0,0,13.0000
2,1,female,21,0,1,21.0000
2,1,female,19,0,0,26.0000
2,0,male,43,0,1,21.0000
2,1,female,32,0,0,13.0000
2,0,male,34,0,0,13.0000
2,1,male,30,0,0,12.7375
2,0,male,27,0,0,15.0333
2,1,female,2,1,1,26.0000
2,1,female,8,1,1,26.0000
2,1,female,33,0,2,26.0000
2,0,male,36,0,0,10.5000
2,0,male,34,1,0,21.0000
2,1,female,30,3,0,21.0000
2,1,female,28,0,0,13.0000
2,0,male,23,0,0,15.0458
2,1,male,0.8333,1,1,18.7500
2,1,male,3,1,1,18.7500
2,1,female,24,2,3,18.7500
2,1,female,50,0,0,10.5000
2,0,male,19,0,0,10.5000
2,1,female,21,0,0,10.5000
2,0,male,26,0,0,13.0000
2,0,male,25,0,0,13.0000
2,0,male,27,0,0,26.0000
2,1,female,25,0,1,26.0000
2,1,female,18,0,2,13.0000
2,1,female,20,0,0,36.7500
2,1,female,30,0,0,13.0000
2,0,male,59,0,0,13.5000
2,1,female,30,0,0,12.3500
2,0,male,35,0,0,10.5000
2,1,female,40,0,0,13.0000
2,0,male,25,0,0,13.0000
2,0,male,41,0,0,15.0458
2,0,male,25,0,0,10.5000
2,0,male,18.5,0,0,13.0000
2,0,male,14,0,0,65.0000
2,1,female,50,0,0,10.5000
2,0,male,23,0,0,13.0000
2,1,female,28,0,0,12.6500
2,1,female,27,0,0,10.5000
2,0,male,29,1,0,21.0000
2,0,female,27,1,0,21.0000
2,0,male,40,0,0,13.0000
2,1,female,31,0,0,21.0000
2,0,male,30,1,0,21.0000
2,0,male,23,1,0,10.5000
2,1,female,31,0,0,21.0000
2,0,male,,0,0,0.0000
2,1,female,12,0,0,15.7500
2,1,female,40,0,0,15.7500
2,1,female,32.5,0,0,13.0000
2,0,male,27,1,0,26.0000
2,1,female,29,1,0,26.0000
2,1,male,2,1,1,23.0000
2,1,female,4,1,1,23.0000
2,1,female,29,0,2,23.0000
2,1,female,0.9167,1,2,27.7500
2,1,female,5,1,2,27.7500
2,0,male,36,1,2,27.7500
2,1,female,33,1,2,27.7500
2,0,male,66,0,0,10.5000
2,0,male,,0,0,12.8750
2,1,male,31,0,0,13.0000
2,1,male,,0,0,13.0000
2,1,female,26,0,0,13.5000
2,0,female,24,0,0,13.0000
3,0,male,42,0,0,7.5500
3,0,male,13,0,2,20.2500
3,0,male,16,1,1,20.2500
3,1,female,35,1,1,20.2500
3,1,female,16,0,0,7.6500
3,1,male,25,0,0,7.6500
3,1,male,20,0,0,7.9250
3,1,female,18,0,0,7.2292
3,0,male,30,0,0,7.2500
3,0,male,26,0,0,8.0500
3,0,female,40,1,0,9.4750
3,1,male,0.8333,0,1,9.3500
3,1,female,18,0,1,9.3500
3,1,male,26,0,0,18.7875
3,0,male,26,0,0,7.8875
3,0,male,20,0,0,7.9250
3,0,male,24,0,0,7.0500
3,0,male,25,0,0,7.0500
3,0,male,35,0,0,8.0500
3,0,male,18,0,0,8.3000
3,0,male,32,0,0,22.5250
3,1,female,19,1,0,7.8542
3,0,male,4,4,2,31.2750
3,0,female,6,4,2,31.2750
3,0,female,2,4,2,31.2750
3,1,female,17,4,2,7.9250
3,0,female,38,4,2,7.7750
3,0,female,9,4,2,31.2750
3,0,female,11,4,2,31.2750
3,0,male,39,1,5,31.2750
3,1,male,27,0,0,7.7958
3,0,male,26,0,0,7.7750
3,0,female,39,1,5,31.2750
3,0,male,20,0,0,7.8542
3,0,male,26,0,0,7.8958
3,0,male,25,1,0,17.8000
3,0,female,18,1,0,17.8000
3,0,male,24,0,0,7.7750
3,0,male,35,0,0,7.0500
3,0,male,5,4,2,31.3875
3,0,male,9,4,2,31.3875
3,1,male,3,4,2,31.3875
3,0,male,13,4,2,31.3875
3,1,female,5,4,2,31.3875
3,0,male,40,1,5,31.3875
3,1,male,23,0,0,7.7958
3,1,female,38,1,5,31.3875
3,1,female,45,0,0,7.2250
3,0,male,21,0,0,7.2250
3,0,male,23,0,0,7.0500
3,0,female,17,0,0,14.4583
3,0,male,30,0,0,7.2250
3,0,male,23,0,0,7.8542
3,1,female,13,0,0,7.2292
3,0,male,20,0,0,7.2250
3,0,male,32,1,0,15.8500
3,1,female,33,3,0,15.8500
3,1,female,0.75,2,1,19.2583
3,1,female,0.75,2,1,19.2583
3,1,female,5,2,1,19.2583
3,1,female,24,0,3,19.2583
3,1,female,18,0,0,8.0500
3,0,male,40,0,0,7.2250
3,0,male,26,0,0,7.8958
3,1,male,20,0,0,7.2292
3,0,female,18,0,1,14.4542
3,0,female,45,0,1,14.4542
3,0,female,27,0,0,7.8792
3,0,male,22,0,0,8.0500
3,0,male,19,0,0,8.0500
3,0,male,26,0,0,7.7750
3,0,male,22,0,0,9.3500
3,0,male,,0,0,7.2292
3,0,male,20,0,0,4.0125
3,1,male,32,0,0,56.4958
3,0,male,21,0,0,7.7750
3,0,male,18,0,0,7.7500
3,0,male,26,0,0,7.8958
3,0,male,6,1,1,15.2458
3,0,female,9,1,1,15.2458
3,0,male,,0,0,7.2250
3,0,female,,0,2,15.2458
3,0,female,,0,2,7.7500
3,0,male,40,1,1,15.5000
3,0,female,32,1,1,15.5000
3,0,male,21,0,0,16.1000
3,1,female,22,0,0,7.7250
3,0,female,20,0,0,7.8542
3,0,male,29,1,0,7.0458
3,0,male,22,1,0,7.2500
3,0,male,22,0,0,7.7958
3,0,male,35,0,0,8.0500
3,0,female,18.5,0,0,7.2833
3,1,male,21,0,0,7.8208
3,0,male,19,0,0,6.7500
3,0,female,18,0,0,7.8792
3,0,female,21,0,0,8.6625
3,0,female,30,0,0,8.6625
3,0,male,18,0,0,8.6625
3,0,male,38,0,0,8.6625
3,0,male,17,0,0,8.6625
3,0,male,17,0,0,8.6625
3,0,female,21,0,0,7.7500
3,0,male,21,0,0,7.7500
3,0,male,21,0,0,8.0500
3,0,male,,1,0,14.4583
3,0,female,,1,0,14.4583
3,0,male,28,0,0,7.7958
3,0,male,24,0,0,7.8542
3,1,female,16,0,0,7.7500
3,0,female,37,0,0,7.7500
3,0,male,28,0,0,7.2500
3,0,male,24,0,0,8.0500
3,0,male,21,0,0,7.7333
3,1,male,32,0,0,56.4958
3,0,male,29,0,0,8.0500
3,0,male,26,1,0,14.4542
3,0,male,18,1,0,14.4542
3,0,male,20,0,0,7.0500
3,1,male,18,0,0,8.0500
3,0,male,24,0,0,7.2500
3,0,male,36,0,0,7.4958
3,0,male,24,0,0,7.4958
3,0,male,31,0,0,7.7333
3,0,male,31,0,0,7.7500
3,1,female,22,0,0,7.7500
3,0,female,30,0,0,7.6292
3,0,male,70.5,0,0,7.7500
3,0,male,43,0,0,8.0500
3,0,male,35,0,0,7.8958
3,0,male,27,0,0,7.8958
3,0,male,19,0,0,7.8958
3,0,male,30,0,0,8.0500
3,1,male,9,1,1,15.9000
3,1,male,3,1,1,15.9000
3,1,female,36,0,2,15.9000
3,0,male,59,0,0,7.2500
3,0,male,19,0,0,8.1583
3,1,female,17,0,1,16.1000
3,0,male,44,0,1,16.1000
3,0,male,17,0,0,8.6625
3,0,male,22.5,0,0,7.2250
3,1,male,45,0,0,8.0500
3,0,female,22,0,0,10.5167
3,0,male,19,0,0,10.1708
3,1,female,30,0,0,6.9500
3,1,male,29,0,0,7.7500
3,0,male,0.3333,0,2,14.4000
3,0,male,34,1,1,14.4000
3,0,female,28,1,1,14.4000
3,0,male,27,0,0,7.8958
3,0,male,25,0,0,7.8958
3,0,male,24,2,0,24.1500
3,0,male,22,0,0,8.0500
3,0,male,21,2,0,24.1500
3,0,male,17,2,0,8.0500
3,0,male,,1,0,16.1000
3,1,female,,1,0,16.1000
3,1,male,36.5,1,0,17.4000
3,1,female,36,1,0,17.4000
3,1,male,30,0,0,9.5000
3,0,male,16,0,0,9.5000
3,1,male,1,1,2,20.5750
3,1,female,0.1667,1,2,20.5750
3,0,male,26,1,2,20.5750
3,1,female,33,1,2,20.5750
3,0,male,25,0,0,7.8958
3,0,male,,0,0,7.8958
3,0,male,,0,0,7.8958
3,0,male,22,0,0,7.2500
3,0,male,36,0,0,7.2500
3,1,female,19,0,0,7.8792
3,0,male,17,0,0,7.8958
3,0,male,42,0,0,8.6625
3,0,male,43,0,0,7.8958
3,0,male,,0,0,7.2292
3,0,male,32,0,0,7.7500
3,1,male,19,0,0,8.0500
3,1,female,30,0,0,12.4750
3,0,female,24,0,0,7.7500
3,1,female,23,0,0,8.0500
3,0,male,33,0,0,7.8958
3,0,male,65,0,0,7.7500
3,1,male,24,0,0,7.5500
3,0,male,23,1,0,13.9000
3,1,female,22,1,0,13.9000
3,0,male,18,0,0,7.7750
3,0,male,16,0,0,7.7750
3,0,male,45,0,0,6.9750
3,0,male,,0,0,7.2250
3,0,male,39,0,2,7.2292
3,0,male,17,1,1,7.2292
3,0,male,15,1,1,7.2292
3,0,male,47,0,0,7.2500
3,1,female,5,0,0,12.4750
3,0,male,,0,0,7.2250
3,0,male,40.5,0,0,15.1000
3,0,male,40.5,0,0,7.7500
3,1,male,,0,0,7.0500
3,0,male,18,0,0,7.7958
3,0,female,,0,0,7.7500
3,0,male,,0,0,7.7500
3,0,male,,0,0,6.9500
3,0,male,26,0,0,7.8792
3,0,male,,0,0,7.7500
3,1,male,,0,0,56.4958
3,0,female,21,2,2,34.3750
3,0,female,9,2,2,34.3750
3,0,male,,0,0,8.0500
3,0,male,18,2,2,34.3750
3,0,male,16,1,3,34.3750
3,0,female,48,1,3,34.3750
3,0,male,,0,0,7.7500
3,0,male,,0,0,7.2500
3,0,male,25,0,0,7.7417
3,0,male,,0,0,14.5000
3,0,male,,0,0,7.8958
3,0,male,22,0,0,8.0500
3,1,female,16,0,0,7.7333
3,1,female,,0,0,7.7500
3,1,male,9,0,2,20.5250
3,0,male,33,1,1,20.5250
